By,Category,Original Complexity,Question,Translated Question,Complexity (SR),SR-time,CG-time,Val.1-time,Val.1 results,AN triggered?,AN-time,Val2-time,Val2 results,total-time,Match-score,Final Results
GPT,Inventory / Stock,Simple,How many SKUs are currently in stock?,"""How many distinct available articles (SKUs) are currently in stock?""",Difficult,22.03,9.66,0.61,True,False,,,False,32.3,0.9
GPT,Inventory / Stock,Simple,How many pallet places are currently occupied?,"""How many distinct pallet locations are currently occupied by transport units?""",Difficult,19.43,12.0,1.14,True,False,,,False,32.57,0.9
GPT,Master-/Reference + Audit,Simple,List the manufacturers who supplied more than 10 unique items.,"""Which manufacturers have more than 10 distinct article numbers associated with their products in the delivery records?""",Difficult,18.81,11.08,1.74,True,False,,,False,31.64,0.9
GPT,Orders / Fulfilment,Simple,How many orders are currently in processing status?,How many orders are currently in processing status across both the main and secondary order tables?,Difficult,23.8,10.37,0.55,True,False,,,False,34.72,0.8
GPT,Storage / Items,Simple,How many different item groups are currently available in the warehouse?,"""How many different article groups exist in the ART table?""",Simple,14.33,8.19,0.2,True,False,,,False,22.72,0.95
GPT,Storage / Items,Simple,How many items were created during June 2025?,How many distinct articles were created or recorded in June 2025 across all article-related tables?,Difficult,20.56,16.85,1.2,True,False,,,False,38.62,0.8
GPT,Transport / Shipping,Simple,How many different transport unit types were used in the past 30 days?,"How many different types of transport units have been used in the last 30 days across storage entries, transport orders, and tours?",Difficult,21.69,14.95,0.35,True,False,,,False,36.99,0.9
Joachim,Storage/Items,Simple,"what is the total item volume of items in stock currently, measured in cubic meters","""What is the total volume in cubic meters of all items, calculated by multiplying each item's quantity by its individual volume and then summing all the results?""",Difficult,16.81,14.12,3.13,True,False,,,False,34.06,0.95
Ralf,Storage/Items,Simple,How many chain kits were created in May 2025? Wie viele Chain Kits wurden im Mai 2025 erstellt?,"How many chain kit articles were created between May 1, 2025 and May 31, 2025?",Difficult,19.52,11.03,0.32,True,False,,,False,30.87,0.95
Wilhelm,Transport / Shipping,Simple,How may different Transport unit Types where shipped Last week?,"""How many different types of transport units were used for completed packages in the previous week?""",Difficult,20.59,14.38,1.59,True,False,,,False,36.55,0.85
GPT,Inventory / Stock,Medium,List all stock records where the available quantity is less than 10 units.,"""What are the transport unit IDs, article numbers, article descriptions, quantities (less than 10), and stock units for all items where the stock unit is 'EA'?""",Difficult,20.73,15.85,227.25,False,True,75.4,54.07,True,393.3,0.4
GPT,Inventory / Stock,Medium,What is the average stock level per item group in the past month?,What is the average stock level for each article group based on records created in the past month?,Difficult,20.03,12.43,1.22,True,False,,,False,33.69,0.95
GPT,Master-/Reference + Audit,Medium,What is the average time between item creation and first audit log entry?,What is the average time difference in days between when an article was first created and when it was first recorded in the protocol?,Difficult,13.67,13.64,16.91,False,True,179.38,15.54,True,239.14,0.95
GPT,Storage / Items,Medium,What is the total item volume -in cubic meters- for all available items?,"""What is the total volume in cubic meters of all articles that are currently available (with status 'VORHANDEN')?""",Difficult,13.92,11.86,1.81,True,False,,,False,27.59,0.95
GPT,Transport / Shipping,Medium,How many TEK entries had a fillrate below 50 percents last week?,"""How many transport units in the past week had a fill rate of less than 50% of their total volume capacity?""",Difficult,17.38,18.09,1.51,True,False,,,False,36.98,0.9
GPT,Transport / Shipping,Medium,Which day last week had the highest number of outbound transport units?,"""Which day in the past week had the highest number of distinct transport units being stored?""",Difficult,21.57,15.67,0.16,True,False,,,False,37.4,0.5
Joachim,Transport / Shipping,Medium,"create me list with all countries were we had orders in the last 30 days ship to, and count all shipments per shipment service.","""What are the count of shipments grouped by destination country and shipping service for orders created in the last 30 days?""",Difficult,25.44,14.87,0.38,True,False,,,False,40.69,0.95
Ralf,Orders / Fulfilment,Medium,How many tires were shipped in May 2025? Wie viele Reifen wurden im Mai 2025 verschickt?,"What is the total quantity of tires (marked with 'J') transported between May 1, 2025 and May 31, 2025?",Very Difficult,21.26,236.98,57.3,True,False,,,False,315.54,0.9
